,Year,Net indicator value
0,1988,0
1,1989,0
2,1990,0
3,1991,344097
4,1992,351287
5,1993,336540
6,1994,347396
7,1995,406749
8,1996,444778
9,1997,495700
10,1998,439349
11,1999,359855
12,2000,367378
13,2001,340229
14,2002,210907
15,2003,170095
16,2004,82419
17,2005,38158
18,2006,181535
19,2007,331354
20,2008,461938
21,2009,461337
22,2010,531761
23,2011,640510
24,2012,746710
25,2013,812435
26,2014,746461
27,2015,614437
28,2016,580007
29,2017,619694
30,2018,648437
31,2019,660467
32,2020,443311
33,2021,563230
